Imputation_,resilient,EFFORT1,ESCS,UNDREM,METASUM,METASPAM,DISCLIMA,TEACHSUP,DIRINS,PERFEED,STIMREAD,ADAPTIVITY,TEACHINT,JOYREAD,SCREADCOMP,SCREADDIFF,PISADIFF,PERCOMP,PERCOOP,ATTLNACT,COMPETE,WORKMAST,GFOFAIL,EUDMO,SWBP,MASTGOAL,DISCRIM,BELONG,BEINGBULLIED,EMOSUPP
0,0,10,-1.7381,-1.64,-1.72,-1.41,.3529,1.314,1.8202,2.0165,2.0871,2.0073,1.8245,.308,.1222,1.2421,1.6524,.6912,.6012,1.0844,2.0054,1.8164,1.8905,1.7411,.5012,.5761,1.7356,-.9879,.2907,-1.7606
0,0,6,-1.2601,-1.64,-1.72,1.33,-.0424,.7628,-.0424,.7743,.5102,.4572,.1744,1.4712,-.4089,1.2421,.2705,-.6142,-.9391,-.6583,.1956,-.1015,-.687,-.1652,.7301,-.4347,.5881,-.4415,1.2618,.739
0,1,9,-2.2423,.1,.21,.42,-.4003,-.2023,.006,.3993,.2432,-.5786,.6797,.4627,-.825,1.1604,-.3034,1.4734,-.9391,.0083,-.5707,-.1015,-.687,-.0193,1.2386,-.8444,-1.1549,-.445,.7703,-1.7606
0,0,9,-1.5216,.8,.59,.42,.2621,-.2023,1.0067,.5121,.3422,.4572,.1744,-.6278,-1.0985,1.3451,1.6524,.6912,-.5107,-.6583,.6314,.5693,.3335,-.523,-.5928,-1.7101,-1.1549,-.4415,.2907,.739
0,0, ,-1.4217,-.6,-.18,1.33,2.0345,-.2023,-.6251,-.3253,-.7695,-.5786,-.6413,-.4868,-2.4403,1.9635,.7192,.6912,-.3047,.024,-.6888,-.1982,.8207,-.6723,-.5928,-.4347,.0004,-.8575,1.5082,-1.7606
0,0,1,-3.091, , , ,-2.7124,-2.7106,-2.9425,-1.6391,-2.3003,-2.2652,-2.2177,-2.7114,-2.4403,1.2978,.9059, , , ,-2.345, , , , , , , , ,.739
0,0,6,-1.8077,-1.29,-1.72,.42,2.0345,-.3673,-1.3843,-1.6391,-.5827,-.5786,.1744,.8628,-.7391,.409,.2705,-.6142,.6012,-.6583,.6314,-.1015,1.8905,-.1652,-.5928,-.5467,-1.1549,-.445,-.7823,-1.7606
0,1,7,-1.6515,-.25,.59,1.33,.5156,-.9422,-2.1693,-1.1311,.6084,-1.4537,1.2662,.7178,.1222,-.524,-.2888,2.0378,-.9391,1.0844,.1956,-.1015,-.2006,-.267,-.5928,-.2151,1.9843,-.445,.2907,.739
0,1,10,-2.0258,1.5,.59,-.5,1.3671,1.314,1.8202,2.0165,2.0871,2.0073,1.8245,.4627,.1222,-1.8876,-1.272,.6912,.6012,1.0844,.1956,-.1015,.4637,1.7411,-.5928,.5761,-1.1549,.3018,-.7823,-1.7606
0,0,10,-1.4569,-1.64,-1.72,-1.41,2.0345,1.314,1.8202,2.0165,2.0871,-2.2652,1.8245,-2.7114,-.314,-1.8876,3.0064,2.0378,1.6762,1.0844,2.0054,1.8164,1.8905,1.7411,1.2386,-2.5252,3.1825,-1.2605,3.8591,-1.7606
0,0,7,-1.4583,.1,.21,.42,1.4022,-1.017,-.8338,-.3253,.1245,-1.601,-1.211,2.6131,1.8839,-1.8876,1.1904,2.0378,-.9391,1.0844,.849,-.1982,1.8905,-1.0946,-.5928,1.8524,-.2071,.0731,.2907,-.6796
0,0,8,-1.5625,-.6,-.57,-.5,.0056,-.2744,.2336,1.5844,1.1884,2.0073,.6797,1.0123,1.8839,2.7752,.2705,-1.0299,-.9391,-.6117,.6314,1.0596,-.4342,.2621,.7301,.4317,1.2675,-.1939,-.7823,.0721
0,0,7,-2.2569,-.25,.59,-1.41,.6911,-.9734,.0345,.3993,.7904,-.1716,1.8245,.5006,1.2374,-1.0064,-1.272,.6912,-.9391,1.0844,1.2643,-.1015,-.4342,-.9827,.1038,1.4751,-1.1549,-.4701,-.7823,-.7604
0,0,10,-1.2714,.45,.98,-.04,1.4424,.7628,.6532,2.0165,1.0419,2.0073,1.3209,-.4389,-.5196,-.524,.2705,.2865,1.6762,1.0844,.1956,1.0596,.8207,.2621,-.5928,.9703,-.5252,.0348,-.7823,.739
0,1,8,-1.9041,.1,.59,-.96,-.0424,.385,.5467,2.0165,1.1847,2.0073,.1744,.638,.6994,-.524,-1.272,1.563,.6012,.0281,.1956,.5693,1.4083,.2621,.1869,.5761,-1.1549,-.3184,-.7823,.739
0,1, ,-1.2939,-.25,1.36,-.5,-.7565,-.7769,-.5066,-.3253,-.3678,-.1716,-.8262,1.3052,.8214,-.0697,.2705,1.2186,-.1855,.0321,.4352,-1.071,-.0288,.6367,.7301,-1.1295,-.6615,.3241,.8615,-1.7606
